"Name","National_Position","Club_Position","Rating","Height","Weight","Age","Work_Rate","Ball_Control","Vision","Goalkeeper","International","IMC"
"Diego Fagundez",NA,"LCM",68,173,57,22,"Medium / Low",68,64,"NO","NO",19.0450733402386
"Veton Berisha","Sub","Sub",68,175,71,22,"High / Medium",70,60,"NO","YES",23.1836734693878
"Siyanda Xulu",NA,"Res",68,188,76,25,"Medium / Medium",58,46,"NO","NO",21.5029425079221
"Joe Bendik",NA,"GK",68,191,92,27,"Medium / Medium",16,38,"YES","NO",25.2186069460815
"Mehdi Terki",NA,"RDM",68,185,75,25,"Medium / High",71,64,"NO","NO",21.9138056975895
"Jarchinio Antonia",NA,"RW",68,169,63,26,"High / Medium",70,62,"NO","NO",22.0580511886839
"Mads Agesen",NA,"LCB",68,190,81,34,"Low / High",44,43,"NO","NO",22.4376731301939
"Dickson Nwakaeme",NA,"Sub",68,187,85,30,"Medium / Low",67,59,"NO","NO",24.3072435585805
"Campabadal",NA,"RB",68,178,77,24,"Medium / Medium",62,37,"NO","NO",24.3024870597147
"Junior Tallo",NA,"Sub",68,185,77,24,"High / Low",66,57,"NO","NO",22.4981738495252
"Alessandro Iacobucci",NA,"GK",68,187,82,25,"Medium / Medium",26,24,"YES","NO",23.4493408447482
"Daniel Høegh",NA,"Sub",68,190,79,26,"Medium / Medium",60,38,"NO","NO",21.8836565096953
"Nicklas Helenius",NA,"LS",68,196,88,25,"Medium / Low",69,65,"NO","NO",22.9071220324865
"Doneil Henry","RB","Res",68,188,82,23,"Medium / Medium",57,47,"NO","YES",23.2005432322318
"Álex Pérez",NA,"LCB",68,191,86,25,"Low / Medium",48,44,"NO","NO",23.5739151887284
"Zacharie Boucher",NA,"GK",68,181,79,25,"Medium / Medium",22,33,"YES","NO",24.1140380330271
"Rafał Janicki",NA,"RCB",68,188,83,24,"Medium / Medium",52,51,"NO","NO",23.4834766862834
"José Ángel",NA,"Sub",68,186,76,28,"Medium / High",60,56,"NO","NO",21.9678575557868
"Franco Signorelli",NA,"Sub",68,178,68,26,"Medium / Low",66,69,"NO","NO",21.4619366241636
"Christoph Hemlein",NA,"RM",68,181,79,26,"Medium / Medium",67,64,"NO","NO",24.1140380330271
"Ali Crawford",NA,"Sub",68,179,63,25,"Medium / Low",66,67,"NO","NO",19.6623076683
"Alessandro Crescenzi",NA,"Sub",68,175,71,25,"Medium / Medium",65,35,"NO","NO",23.1836734693878
"Loris Néry",NA,"RB",68,174,73,26,"Medium / Low",66,65,"NO","NO",24.1115074646585
"John Lundstram",NA,"RCM",68,181,74,23,"Medium / High",68,69,"NO","NO",22.5878330942279
"Max Power",NA,"Sub",68,181,77,23,"High / Medium",67,66,"NO","NO",23.5035560575074
"Vytautas Andriuškevičius",NA,"Sub",68,188,80,26,"High / Medium",66,38,"NO","NO",22.6346763241286
"Tim Melia",NA,"GK",68,185,86,30,"Medium / Medium",19,50,"YES","NO",25.1278305332359
"Ted van de Pavert",NA,"Sub",68,194,82,25,"Medium / High",58,50,"NO","NO",21.7876501222234
"Jonathan Rivierez",NA,"RB",68,182,82,27,"Medium / Medium",61,34,"NO","NO",24.7554643159039
"Gordan Bunoza",NA,"RCB",68,195,91,29,"Medium / Medium",45,30,"NO","NO",23.9316239316239
"Stefan Ortega",NA,"GK",68,186,89,24,"Medium / Medium",46,13,"YES","NO",25.7255174008556
"Zakaria Diallo",NA,"RCB",68,194,88,30,"Medium / Medium",53,40,"NO","NO",23.3818684238495
"Jamie Paterson",NA,"Sub",68,175,67,25,"High / Medium",69,57,"NO","NO",21.8775510204082
"Zakarya Bergdich",NA,"Sub",68,174,68,28,"Medium / Medium",69,59,"NO","NO",22.4600343506408
"Christian Gartner",NA,"Sub",68,179,75,22,"Medium / Medium",68,68,"NO","NO",23.4075091289286
"Kamil Drygas",NA,"CAM",68,184,72,25,"High / Medium",65,70,"NO","NO",21.2665406427221
"Collin Quaner",NA,"Sub",68,191,79,25,"Medium / Medium",63,45,"NO","NO",21.655108138483
"Fran Vélez",NA,"LDM",68,175,75,25,"Medium / Medium",67,63,"NO","NO",24.4897959183673
"Federico Vismara",NA,"Res",68,185,74,33,"Low / Medium",62,63,"NO","NO",21.6216216216216
"Yvan Erichot",NA,"RCB",68,190,83,27,"Medium / Medium",53,35,"NO","NO",22.9916897506925
"Jens Cools",NA,"Sub",68,189,75,26,"Medium / High",60,59,"NO","NO",20.9960527420845
"Provencio",NA,"LM",68,178,75,29,"Medium / Medium",71,71,"NO","NO",23.6712536295922
"Turgut Doğan Şahin",NA,"Sub",68,180,71,29,"High / Medium",69,60,"NO","NO",21.9135802469136
"Erick Torres",NA,"ST",68,183,81,24,"High / Medium",63,58,"NO","NO",24.1870464928783
"Ilie Sánchez",NA,"CM",68,180,77,26,"Medium / High",68,56,"NO","NO",23.7654320987654
"Damiano Zanon",NA,"RB",68,177,73,33,"High / Medium",67,60,"NO","NO",23.301094832264
"John Tshibumbu",NA,"Sub",68,176,70,28,"Medium / Medium",71,54,"NO","NO",22.5981404958678
"Dušan Cvetinović",NA,"LCB",68,186,81,28,"Low / High",59,31,"NO","NO",23.4131113423517
"Raphaël Cacérès",NA,"Sub",68,187,80,29,"High / Medium",65,59,"NO","NO",22.8774057021934
"Yoann Court",NA,"LM",68,172,70,27,"Medium / Medium",67,64,"NO","NO",23.6614386154678
"Benjamin Gorka",NA,"Res",68,196,95,32,"Medium / Medium",44,42,"NO","NO",24.7292794668888
"Dejan Lekić",NA,"Sub",68,193,88,31,"Medium / Low",54,56,"NO","NO",23.624795296518
"Jandson",NA,"RS",68,190,88,30,"Medium / Low",66,54,"NO","NO",24.3767313019391
"Laurens Paulussen",NA,"RB",68,174,70,26,"High / High",65,58,"NO","NO",23.1206235962479
"Bennard Kumordzi",NA,"Sub",68,188,77,32,"Medium / High",65,65,"NO","NO",21.7858759619737
"Franck L'Hostis",NA,"Res",68,186,77,26,"Medium / Medium",23,14,"NO","NO",22.2569083130998
"Mandi",NA,"Sub",68,182,76,28,"Medium / Medium",60,44,"NO","NO",22.9440888781548
"Thanos Petsos",NA,"Sub",68,184,80,25,"Medium / High",68,64,"NO","NO",23.6294896030246
"Jerónimo Amione",NA,"LS",68,173,77,26,"Medium / Medium",66,52,"NO","NO",25.7275552140065
"Pau Torres",NA,"Sub",68,185,79,29,"Medium / Medium",14,31,"NO","NO",23.0825420014609
"Andrea Lisuzzo",NA,"Sub",68,183,76,36,"Medium / Medium",56,35,"NO","NO",22.6940189315895
"Javier Toledo",NA,"Sub",68,190,89,30,"High / Medium",56,60,"NO","NO",24.6537396121884
"Saliou Ciss",NA,"LM",68,175,70,27,"High / Medium",65,56,"NO","NO",22.8571428571429
"Bjørn Paulsen",NA,"Sub",68,190,77,25,"Medium / Medium",69,56,"NO","NO",21.3296398891967
"Tom Bradshaw","Sub","RS",68,178,71,24,"High / Medium",64,42,"NO","YES",22.4087867693473
"Mathias Autret",NA,"Sub",68,175,71,26,"Medium / Medium",69,69,"NO","NO",23.1836734693878
"Ivan Franjic",NA,"RB",68,180,77,29,"High / Medium",68,59,"NO","NO",23.7654320987654
"Aguilera",NA,"RDM",68,185,76,31,"Medium / High",70,63,"NO","NO",22.2059897735573
"Jon Taylor",NA,"RM",68,168,77,24,"High / Medium",63,55,"NO","NO",27.281746031746
"Pascal Testroet",NA,"Sub",68,185,86,26,"Medium / Medium",64,50,"NO","NO",25.1278305332359
"Dedryck Boyata",NA,"RCB",68,188,84,26,"Medium / Medium",57,41,"NO","NO",23.766410140335
"Abdallah El-Said","CAM","Res",68,176,75,31,"Medium / Medium",74,59,"NO","YES",24.2122933884298
"Abdoulaye Diallo",NA,"Sub",68,191,79,25,"Medium / Medium",17,24,"NO","NO",21.655108138483
"Sören Bertram",NA,"Sub",68,183,80,25,"Medium / Medium",69,69,"NO","NO",23.8884409806205
"Jake Bidwell",NA,"LWB",68,183,70,24,"High / Medium",65,55,"NO","NO",20.9023858580429
"Marvin Bejarano",NA,"Res",68,172,70,29,"Medium / Medium",59,37,"NO","NO",23.6614386154678
"Marcel Titsch-Rivero",NA,"LDM",68,182,76,27,"Medium / Medium",69,67,"NO","NO",22.9440888781548
"Roberto Cereceda",NA,"LB",68,175,68,32,"Medium / Medium",68,60,"NO","NO",22.2040816326531
"James Tavernier",NA,"RB",68,182,75,25,"High / Medium",64,49,"NO","NO",22.6421929718633
"Kamran Ağayev",NA,"Sub",68,189,88,31,"Medium / Medium",18,29,"NO","NO",24.6353685507125
"Guy Michel Landel",NA,"Sub",68,172,67,26,"Medium / Medium",67,68,"NO","NO",22.6473769605192
"Toni Dovale",NA,"Sub",68,177,76,26,"Medium / Medium",71,72,"NO","NO",24.2586740719461
"Johan Martial",NA,"Sub",68,184,76,25,"Medium / Medium",58,45,"NO","NO",22.4480151228733
"Craig Dawson",NA,"Sub",68,188,85,26,"Medium / Medium",67,51,"NO","NO",24.0493435943866
"Alexey Nikitin",NA,"RCB",68,187,87,25,"High / Medium",49,34,"NO","NO",24.8791787011353
"Jonathan Tinhan",NA,"Sub",68,177,71,27,"Medium / Medium",64,56,"NO","NO",22.662708672476
"Antonio Mazzotta",NA,"LM",68,183,73,27,"High / Medium",64,36,"NO","NO",21.7982023948162
"Alan Chochiev",NA,"RM",68,180,70,25,"Medium / Medium",65,65,"NO","NO",21.6049382716049
"Jukka Raitala",NA,"LM",68,181,76,28,"Medium / Medium",58,61,"NO","NO",23.1983150697476
"Lakdar Boussaha",NA,"ST",68,175,72,29,"Medium / Low",59,54,"NO","NO",23.5102040816327
"Veysel Sarı",NA,"RCB",68,184,78,28,"High / High",70,44,"NO","NO",23.038752362949
"Francesco Signori",NA,"Sub",68,179,74,28,"High / High",65,66,"NO","NO",23.0954090072095
"Max Grün",NA,"Sub",68,190,86,29,"Medium / Medium",15,14,"NO","NO",23.8227146814404
"Escassi",NA,"Sub",68,185,78,28,"Medium / Medium",71,53,"NO","NO",22.7903579254931
"Sam Clucas",NA,"LCM",68,188,74,26,"Medium / Medium",67,68,"NO","NO",20.9370755998189
"Marco Calderoni",NA,"Sub",68,183,75,28,"Medium / Medium",58,41,"NO","NO",22.3954134193317
"Joe Mason",NA,"Sub",68,178,73,25,"Medium / Medium",68,59,"NO","NO",23.0400201994698
"Villalibre",NA,"Res",68,183,82,19,"Medium / Medium",65,52,"NO","NO",24.485652005136
"Edu Ramos",NA,"RDM",68,177,67,25,"Medium / Medium",70,64,"NO","NO",21.3859363528999
"Niklas Backman",NA,"RCB",68,186,80,28,"High / Medium",60,42,"NO","NO",23.1240605850387
"Xavier Chavalerin",NA,"Sub",68,179,69,26,"Medium / Medium",69,71,"NO","NO",21.5349083986143
"Davide Gavazzi",NA,"Res",68,185,74,30,"Medium / Medium",69,65,"NO","NO",21.6216216216216
"Tyler Deric",NA,"GK",68,191,84,28,"Medium / Medium",13,38,"YES","NO",23.025684602944
"Martin Nešpor",NA,"ST",68,184,74,26,"High / Medium",60,41,"NO","NO",21.8572778827977
"Lerin Duarte",NA,"Sub",68,170,74,26,"Medium / Medium",72,70,"NO","NO",25.6055363321799
"Guus Hupperts",NA,"RM",68,176,75,24,"Medium / Medium",72,66,"NO","NO",24.2122933884298
"Aitor",NA,"GK",68,182,78,25,"Medium / Medium",14,35,"YES","NO",23.5478806907378
"Philipp Klingmann",NA,"RB",68,180,83,28,"Medium / Medium",64,51,"NO","NO",25.6172839506173
"Muhammed İldiz",NA,"Sub",68,179,77,25,"Low / High",66,59,"NO","NO",24.0317093723667
"Christoph Schösswendter",NA,"Sub",68,193,78,28,"Medium / High",53,32,"NO","NO",20.9401594673683
"Ömer Bayram",NA,"Sub",68,173,73,25,"High / Medium",72,67,"NO","NO",24.3910588392529
"Neil Etheridge",NA,"GK",68,191,89,27,"Medium / Medium",32,46,"YES","NO",24.396261067405
"Víctor Pérez",NA,"LDM",68,178,69,29,"Medium / Medium",67,65,"NO","NO",21.7775533392248
"Pierrick Cros",NA,"GK",68,185,75,25,"Medium / Medium",20,32,"YES","NO",21.9138056975895
"Diego Cháves",NA,"Sub",68,178,73,31,"Medium / Medium",69,50,"NO","NO",23.0400201994698
"Ross Draper",NA,"RCM",68,196,87,28,"Medium / High",65,66,"NO","NO",22.6468138275718
"Nicolaj Madsen",NA,"LCM",68,188,83,28,"High / Medium",68,67,"NO","NO",23.4834766862834
"Milan Djuric",NA,"Sub",68,199,94,26,"Medium / Medium",65,46,"NO","NO",23.7367743238807
"Joan Oriol",NA,"Sub",68,175,69,30,"High / Medium",66,49,"NO","NO",22.530612244898
"Gia Grigalava",NA,"Res",68,190,85,27,"Medium / Medium",61,50,"NO","NO",23.5457063711911
"Athanasios Papazoglou",NA,"Sub",68,195,92,29,"Medium / Medium",65,62,"NO","NO",24.1946088099934
"Dani Schahin",NA,"ST",68,187,82,27,"Medium / Medium",66,48,"NO","NO",23.4493408447482
"Cristian Tănase",NA,"LM",68,179,78,30,"High / Low",70,68,"NO","NO",24.3438094940857
"Matthias Zimmermann",NA,"Sub",68,177,77,24,"Low / High",68,56,"NO","NO",24.5778671518401
"Steven Vitória","Sub","Sub",68,195,86,30,"Medium / High",58,43,"NO","YES",22.6166995397765
"Adam Matuschyk",NA,"Sub",68,180,75,28,"Medium / Medium",70,68,"NO","NO",23.1481481481481
"José Carlos",NA,"Sub",68,177,68,29,"Medium / Low",71,70,"NO","NO",21.7051294327939
"Jesús Fernández",NA,"Sub",68,190,83,28,"Medium / Medium",13,35,"NO","NO",22.9916897506925
"Graham Carey",NA,"CAM",68,183,71,27,"High / High",63,70,"NO","NO",21.2009913703007
"Murray Davidson",NA,"Sub",68,180,69,29,"Medium / High",67,65,"NO","NO",21.2962962962963
"Viktor Lundberg",NA,"LS",68,187,79,26,"High / Medium",67,54,"NO","NO",22.591438130916
"Pedro Queirós",NA,"RB",68,180,73,32,"Medium / High",65,58,"NO","NO",22.5308641975309
"Jean Sony Alcenat",NA,"Sub",68,174,67,31,"High / Medium",64,59,"NO","NO",22.1297397278372
"Carlos Guzmán",NA,"Sub",68,179,70,22,"Medium / Medium",67,39,"NO","NO",21.8470085203333
"Kim Sung Joon",NA,"LDM",68,174,68,28,"Medium / Medium",65,72,"NO","NO",22.4600343506408
"Lim Jong Eun",NA,"Sub",68,192,88,26,"Medium / High",59,47,"NO","NO",23.8715277777778
"Hamad Al Hamad",NA,"Res",68,164,60,29,"High / Medium",67,66,"NO","NO",22.3081499107674
"Federico Mancinelli",NA,"LCB",68,181,80,34,"Medium / Medium",50,31,"NO","NO",24.4192790207869
"Takumi Shimohira",NA,"Sub",68,178,68,28,"Low / Medium",69,41,"NO","NO",21.4619366241636
"Ahmed Mohammed Al Fraidi",NA,"CAM",68,175,74,29,"Medium / Low",69,67,"NO","NO",24.1632653061224
"Davide Petrucci",NA,"LDM",68,184,76,25,"Medium / Medium",73,56,"NO","NO",22.4480151228733
"Mikhail Sivakov",NA,"Sub",68,187,80,29,"Medium / Medium",68,64,"NO","NO",22.8774057021934
"Mushaga Bakenga",NA,"Sub",68,181,77,24,"High / Medium",67,47,"NO","NO",23.5035560575074
"Etzaz Hussain",NA,"Sub",68,176,69,24,"Medium / Medium",69,68,"NO","NO",22.2753099173554
"David Jensen",NA,"Sub",68,195,92,25,"Medium / Medium",22,50,"NO","NO",24.1946088099934
"Quincy Amarikwa",NA,"Sub",68,175,81,29,"High / Medium",68,61,"NO","NO",26.4489795918367
"Annyong Quan",NA,"Res",68,175,75,31,"Medium / Medium",70,70,"NO","NO",24.4897959183673
"Parfait Mandanda",NA,"Sub",68,182,78,27,"Medium / Medium",22,32,"NO","NO",23.5478806907378
"Sean Johnson",NA,"GK",68,190,98,27,"Medium / Medium",20,14,"YES","NO",27.1468144044321
"Giorgi Makaridze",NA,"GK",68,190,85,26,"Medium / Medium",19,25,"YES","NO",23.5457063711911
"Marvin Pourié",NA,"RS",68,185,86,26,"High / Medium",66,57,"NO","NO",25.1278305332359
"Manassé Enza-Yamissi",NA,"Sub",68,190,82,27,"Medium / High",57,23,"NO","NO",22.7146814404432
"Yaser Kasim",NA,"Sub",68,181,73,25,"Medium / Medium",74,66,"NO","NO",22.2825921064681
"Mike Grella",NA,"Sub",68,180,77,30,"Medium / Medium",68,61,"NO","NO",23.7654320987654
"Rodney Wallace",NA,"LW",68,182,75,28,"High / Medium",66,65,"NO","NO",22.6421929718633
"Palanca",NA,"Sub",68,171,73,29,"High / Low",74,62,"NO","NO",24.9649464792586
"Reynaldo",NA,"Sub",68,173,71,27,"Medium / Low",72,53,"NO","NO",23.7228106518761
"Björn Daniel Sverrisson",NA,"CDM",68,182,75,26,"Medium / Medium",68,69,"NO","NO",22.6421929718633
"Diego de Buen",NA,"Sub",68,182,79,25,"Medium / High",68,69,"NO","NO",23.8497765970293
"Stian Ringstad",NA,"Sub",68,182,75,25,"High / Medium",71,62,"NO","NO",22.6421929718633
"Pavle Ninkov",NA,"Sub",68,181,80,31,"High / Medium",71,65,"NO","NO",24.4192790207869
"Toño Ramirez",NA,"Sub",68,189,83,30,"Medium / Medium",18,35,"NO","NO",23.2356317012402
"Nzuzi Toko",NA,"Sub",68,171,66,26,"Medium / Medium",69,63,"NO","NO",22.5710475017954
"Mame Ousmane Cissokho",NA,"LM",68,175,68,30,"Medium / Medium",61,67,"NO","NO",22.2040816326531
"Mirko Eramo",NA,"Sub",68,184,75,27,"High / Medium",69,61,"NO","NO",22.1526465028355
"Maciej Wilusz",NA,"Sub",68,188,85,28,"Medium / High",42,54,"NO","NO",24.0493435943866
"Paulo Tavares",NA,"Res",68,179,72,31,"Medium / Medium",66,68,"NO","NO",22.4712087637714
"Tom Hateley",NA,"Sub",68,180,73,27,"Medium / High",69,69,"NO","NO",22.5308641975309
"Luke Murphy",NA,"CDM",68,185,74,27,"Medium / High",67,69,"NO","NO",21.6216216216216
"Darko Bodul",NA,"LS",68,186,81,28,"Medium / Medium",71,57,"NO","NO",23.4131113423517
"Frédéric Bulot",NA,"Sub",68,179,71,26,"Medium / Medium",72,59,"NO","NO",22.1591086420524
"Kevin Conboy",NA,"LB",68,185,77,29,"High / Medium",62,54,"NO","NO",22.4981738495252
"Luke DeVere",NA,"Sub",68,186,88,27,"Medium / High",57,50,"NO","NO",25.4364666435426
"Rajiv van La Parra",NA,"LM",68,181,72,25,"Medium / Medium",72,60,"NO","NO",21.9773511187082
"Dries Wuytens",NA,"Sub",68,183,80,26,"Medium / Medium",67,39,"NO","NO",23.8884409806205
"Álvaro Fernández",NA,"Sub",68,185,72,31,"Medium / Medium",72,66,"NO","NO",21.0372534696859
"Bruno Perone",NA,"CB",68,191,85,29,"Medium / Medium",55,51,"NO","NO",23.2997998958362
"Steeven Joseph-Monrose",NA,"Sub",68,180,73,26,"Medium / Medium",66,60,"NO","NO",22.5308641975309
"Alessandro Tuia",NA,"RCB",68,184,74,26,"Low / High",50,46,"NO","NO",21.8572778827977
"Diogo Viana",NA,"Sub",68,174,68,27,"Medium / Medium",72,64,"NO","NO",22.4600343506408
"Mark Birighitti",NA,"Res",68,189,84,25,"Medium / Medium",16,33,"NO","NO",23.5155790711346
"Yannick Thoelen",NA,"Sub",68,188,81,26,"Medium / Medium",19,28,"NO","NO",22.9176097781802
"Sandro Manoel",NA,"LDM",68,176,70,28,"Medium / Medium",65,58,"NO","NO",22.5981404958678
"Krzysztof Janus",NA,"RM",68,176,70,31,"Medium / Medium",65,60,"NO","NO",22.5981404958678
"Foued Kadir",NA,"Sub",68,180,70,33,"Medium / Medium",70,68,"NO","NO",21.6049382716049
"Yannis Tafer",NA,"Sub",68,181,67,26,"Medium / Medium",68,64,"NO","NO",20.451146179909
"Dmitriy Abakumov",NA,"Sub",68,185,76,27,"Medium / Medium",22,35,"NO","NO",22.2059897735573
"Richard Ruíz",NA,"Sub",68,175,72,31,"High / Medium",67,64,"NO","NO",23.5102040816327
"Javier Orozco",NA,"Sub",68,173,78,29,"High / Medium",68,60,"NO","NO",26.0616793076949
"Lee Yun Pyo",NA,"LCB",68,184,79,32,"Low / High",59,50,"NO","NO",23.3341209829868
"Fabio Daprelà",NA,"Sub",68,180,65,26,"Low / Medium",71,59,"NO","NO",20.0617283950617
"Danny Swanson",NA,"LM",68,168,59,30,"Medium / Medium",66,70,"NO","NO",20.9041950113379
"David Horst",NA,"Sub",68,193,91,31,"Medium / High",49,45,"NO","NO",24.430186045263
"Shea Salinas",NA,"Sub",68,178,68,30,"High / High",66,67,"NO","NO",21.4619366241636
"Brek Shea",NA,"Sub",68,191,86,27,"High / Medium",68,62,"NO","NO",23.5739151887284
"Tim Breukers",NA,"RM",68,178,76,29,"High / Medium",59,56,"NO","NO",23.9868703446535
"Mustapha Carayol",NA,"Sub",68,177,74,27,"High / Low",68,62,"NO","NO",23.6202879121581
"Juan Carlos Blengio",NA,"Sub",68,185,85,36,"Low / Medium",50,53,"NO","NO",24.8356464572681
"Vladimir Koman",NA,"CAM",68,173,67,28,"High / Medium",63,72,"NO","NO",22.3863142771225
"Jan Koprivec","Sub","Res",68,185,81,28,"Medium / Medium",23,33,"NO","YES",23.6669101533966
"Idir Ouali",NA,"LM",68,176,69,28,"High / Low",68,59,"NO","NO",22.2753099173554
"Ján Vlasko",NA,"Sub",68,177,72,27,"Medium / Low",70,70,"NO","NO",22.98190175237
"David Hubert",NA,"LDM",68,184,79,29,"Low / High",64,57,"NO","NO",23.3341209829868
"Shin Kwang Hoon",NA,"Res",68,177,77,30,"High / Medium",64,58,"NO","NO",24.5778671518401
"John Goossens",NA,"Sub",68,174,68,28,"Medium / Low",71,68,"NO","NO",22.4600343506408
"Stef Nijland",NA,"Sub",68,187,79,28,"Medium / Medium",70,62,"NO","NO",22.591438130916
"Ľubomír Guldan",NA,"RCB",68,182,83,34,"Medium / Medium",59,49,"NO","NO",25.0573602221954
"Luigi Giorgi",NA,"CM",68,186,75,29,"Medium / Medium",71,69,"NO","NO",21.6788067984738
"Michelangelo Albertazzi",NA,"Sub",68,185,73,26,"Medium / Medium",52,31,"NO","NO",21.3294375456538
"Jay Simpson",NA,"Sub",68,180,84,28,"High / Medium",68,58,"NO","NO",25.9259259259259
"Chris Basham",NA,"RCB",68,181,80,28,"Medium / High",58,59,"NO","NO",24.4192790207869
"Kévin Bru",NA,"Sub",68,182,72,28,"Medium / Medium",72,72,"NO","NO",21.7365052529888
"Jackson Mabokgwane",NA,"Sub",68,175,69,29,"Medium / Medium",24,39,"NO","NO",22.530612244898
"Donny Gorter",NA,"CDM",68,175,70,28,"High / Medium",72,63,"NO","NO",22.8571428571429
"Michael Zullo",NA,"LB",68,170,63,28,"High / Low",70,59,"NO","NO",21.7993079584775
"Patrick Fabian",NA,"Sub",68,193,92,29,"Low / Medium",55,30,"NO","NO",24.6986496281779
"Sören Gonther",NA,"Sub",68,186,81,30,"Medium / Medium",52,46,"NO","NO",23.4131113423517
"Norman Theuerkauf",NA,"Sub",68,183,76,30,"Medium / Medium",63,58,"NO","NO",22.6940189315895
"Cordero",NA,"Sub",68,178,72,29,"Medium / Medium",66,70,"NO","NO",22.7244034844085
"Thomas Ayasse",NA,"LDM",68,183,75,30,"Medium / High",62,66,"NO","NO",22.3954134193317
"Guilherme Finkler",NA,"CAM",68,184,79,31,"Medium / Low",65,75,"NO","NO",23.3341209829868
"Muhamed Keita",NA,"Sub",68,171,71,26,"High / Medium",66,60,"NO","NO",24.2809753428405
"Seb Hines",NA,"Sub",68,188,78,28,"Medium / Medium",55,39,"NO","NO",22.0688094160254
"Kieran Agard",NA,"ST",68,173,67,27,"Medium / Medium",61,54,"NO","NO",22.3863142771225
"Rafał Grzyb",NA,"RCM",68,175,75,34,"Medium / High",62,56,"NO","NO",24.4897959183673
"Richard O'Donnell",NA,"Sub",68,188,85,28,"Medium / Medium",33,48,"NO","NO",24.0493435943866
"Erling Knudtzon",NA,"RS",68,178,72,28,"High / Medium",67,61,"NO","NO",22.7244034844085
"Luis Miguel Noriega",NA,"RCM",68,172,73,31,"High / Medium",65,68,"NO","NO",24.6755002704164
"Andreas Lukse","Sub","GK",68,187,82,29,"Medium / Medium",22,35,"YES","YES",23.4493408447482
"Johann Carrasso",NA,"GK",70,187,87,28,"Medium / Medium",15,46,"YES","NO",24.8791787011353
"Túlio",NA,"LCB",68,185,85,35,"Medium / Medium",62,58,"NO","NO",24.8356464572681
"Hiroyuki Taniguchi",NA,"LCB",68,182,73,31,"Medium / Medium",69,65,"NO","NO",22.0384011592803
"Adrian Leijer",NA,"Sub",68,187,83,31,"Low / High",47,48,"NO","NO",23.7353084160256
"Matt McKay",NA,"LCM",68,171,65,34,"High / High",66,69,"NO","NO",22.2290619335864
"Piotr Grzelczak",NA,"LM",68,186,82,29,"Medium / Low",65,57,"NO","NO",23.7021620996647
"Nils Schouterden",NA,"LM",68,176,75,28,"Medium / Medium",68,59,"NO","NO",24.2122933884298
"Michel Morganella",NA,"Sub",68,184,78,27,"Medium / High",69,59,"NO","NO",23.038752362949
"Ridge Munsy",NA,"Sub",68,186,90,27,"Medium / Medium",65,46,"NO","NO",26.0145681581686
"Ari Skúlason",NA,"LB",68,170,65,29,"High / High",70,76,"NO","NO",22.4913494809689
"David Perkins",NA,"Sub",68,168,76,34,"High / High",67,69,"NO","NO",26.9274376417234
"José San Román",NA,"RB",68,172,70,28,"Medium / Medium",62,53,"NO","NO",23.6614386154678
"Osmar Mares",NA,"Sub",68,169,69,29,"Medium / Medium",65,59,"NO","NO",24.1588179685585
"Jesús Paganoni",NA,"Sub",68,169,65,28,"Medium / Medium",68,54,"NO","NO",22.7583067819754
"Charlie Davies",NA,"Sub",68,178,73,30,"Medium / Medium",67,52,"NO","NO",23.0400201994698
"Chris Seitz",NA,"GK",68,191,107,30,"Medium / Medium",9,41,"YES","NO",29.3303363394644
"Tommy Rowe",NA,"LM",68,180,81,28,"Medium / Medium",66,64,"NO","NO",25
"Didier Ya Konan",NA,"Res",68,174,76,32,"Medium / Low",70,65,"NO","NO",25.1023913330691
"Scott Jamieson",NA,"LB",68,177,71,28,"Medium / Medium",62,58,"NO","NO",22.662708672476
"Bruno Urribarri",NA,"Sub",68,168,64,30,"Medium / Medium",63,66,"NO","NO",22.6757369614512
"Danny Holla",NA,"RCM",68,178,74,29,"Medium / Medium",67,70,"NO","NO",23.355636914531
"Antonio Piccolo",NA,"RW",68,180,68,28,"High / Medium",70,63,"NO","NO",20.9876543209877
"Andrea Cocco",NA,"LS",68,182,75,30,"Medium / Low",64,60,"NO","NO",22.6421929718633
"Alberto Pelagotti",NA,"Sub",68,186,81,28,"Medium / Medium",11,25,"NO","NO",23.4131113423517
"Flavio Lazzari",NA,"Sub",68,182,73,30,"Medium / Medium",68,63,"NO","NO",22.0384011592803
"Michael Orozco",NA,"RB",68,180,75,31,"Medium / High",60,55,"NO","NO",23.1481481481481
"Kim André Madsen",NA,"RCB",68,184,74,28,"Medium / Medium",57,51,"NO","NO",21.8572778827977
"Mehmet Uslu",NA,"Sub",68,176,67,29,"High / Medium",63,48,"NO","NO",21.6296487603306
"Greg Tansey",NA,"CM",68,185,86,28,"Medium / Medium",64,68,"NO","NO",25.1278305332359
"Laurent Agouazi",NA,"CDM",68,184,75,33,"Medium / Medium",61,70,"NO","NO",22.1526465028355
"Jon Erice",NA,"LDM",68,177,72,30,"Low / High",64,66,"NO","NO",22.98190175237
"William Paredes",NA,"Res",68,163,66,31,"High / Medium",66,58,"NO","NO",24.8409800895781
"Bernd Nehrig",NA,"RDM",68,180,79,30,"Medium / Medium",65,58,"NO","NO",24.3827160493827
"Valdet Rama",NA,"Sub",68,182,78,29,"Medium / Low",75,67,"NO","NO",23.5478806907378
"Gary Roberts",NA,"CAM",67,178,74,33,"High / Medium",68,74,"NO","NO",23.355636914531
